raw,processed,label,score
,pemerintah terus melakukan upaya dalam menekan penyebaran covid di indonesia dengan menerapkan terkait kunjungan wisatawan mancanegara ke indonesia cipta keamanan dan ketertiban masyarakat kondusif,neutral,0.9100237488746643
,sebelumnya vaksin covid pfizer biontech sudah tersedia untuk mereka yang berusia tahun dan perusahaan masih mempelajarinya untuk anak anak di bawah tahun,neutral,0.9952310919761658
,jiwa nasionalisme tentunya harus dimiliki setiap warga negara indonesia lomba mural yang diadakan polri harapannya bisa meningkatkan lagi semangat nasionalisme untuk memajukan nkri cipta keamanan dan ketertiban masyarakat kondusif,positive,0.9994990825653076
,isu bohong vaksin covid mengandung microchip magnetis fakta informasi tersebut tidak benar jumlah cairan vaksin yang disuntikkan hanya cc dan akan segera menyebar di seluruh jaringan sekitar sumber cipta keamanan dan ketertiban masyarakat kondusif,negative,0.9982064962387085
,gaduh menag era jokowi langgam jawa cadar amp hadiah nu ada meninggal,neutral,0.99293452501297
,isu bohong tentang vaksin covid isu bohong vaksin covid mengandung microchip magnetis fakta informasi tersebut tidak benar juru bicara vaksinasi covid kemenkes dari siti nadia tarmidzi mengatakan jumlah cairan vaksin yang disuntikkan hanya,neutral,0.5390890836715698
,wtheck aku shouldnt laugh cause there really is people who believe this crud,neutral,0.9948136806488037
,kita bisa akhiri pandemi covid jika kita bersatu melawannya sejarah membuktikan vaksin beberapa kali telah menyelamatkan dunia dari pandemi vaksin adalah salah satu temuan berharga dunia sains jangan ragu dan jangan takut ikut vaksinasi,positive,0.7921092510223389
,ini case you think that the ovp konsulta dan covid kit is myth here another proof yes tested positive untuk covid dan currently ini my third hari of isolation my symptoms are slowly subsiding dan feeling much better now tahan few days back tinggal safe,positive,0.664104700088501
,mengingat prestasi yang terbukti sudah mendunia yang bahkan negara maju saja pada babak belur maka bagaimana jika jokowi amp his dream team pasca tetap digunakan saja bagaimana formatnya demi saja,negative,0.6526682376861572
,kes harian baharu dilaporkan maklumat terperinci akan dimuatnaik ke laman covidnow begitu,neutral,0.9936589598655701
,para penggemar edisi sheeran mengaku sangat terkejut dengan berita tersebut saat ini pria berusia tahun tersebut masih melakukan isolasi mandiri setelah di menyatakan positif covid dan di kabarkan akan melakukan launching album terbarunya melalui onlen streaming di rumahnya,negative,0.5696878433227539
,walau sudah divaksin ayo jangan kendor patuhi protokol kesehatan lindungi diri dari covid selalu gunakan masker amp jaga jarak selalu ingat selalu humaspolri,positive,0.8598091006278992
,yuk langsung saja join ke grub bok saya iya link di bawah yang mau vcs ini whatsapp saya ditunggu iya,neutral,0.9969249367713928
,yang perlu di waspadai itu utang negara,negative,0.9998674392700195
,dinas kesehatan kabupaten lampura memastikan tidak ada temuan klaster kasus covid pada sejumlah,neutral,0.9981597065925598
,kita harus mengantisipasi dengan protokol kesehatan dan vaksinasi kendati kasus covid di indonesia terus melandai kondisi di negara lain masih mengalami fluktuasi dan lonjakan penularan virus corona,neutral,0.5872918367385864
,new covid recoveries pang covid patients ang nakal recover sa sakit ayon sa department of health dahil dito nasa nya ang kabuuang bilang ng mga gumaling sa covid as of october,negative,0.5654506683349609
,onderzoekers van het covid vaccin zijn direct gelinkt aan wetenschappers die betrokken zijn bij hersen computer interface neural lace technologie een van hen is aangeklaagd voor het aannemen van subsidiegeld uit china,neutral,0.9949689507484436
,hati ein nullrisiko an zu versterben umgekehsind todesf lle durch myokarditiden typischerweise durch stumme virusinfekte beliebte todesursache von spitzensportlern kimmich handelt sih absolut rational bin geimpft,neutral,0.7024006247520447
,uk japan hard tryout believe just tweeted out by what di you think,neutral,0.997329592704773
